Column1,Name,P,Yellow card,Red card,Pts
1,Kai Havertz,18,5,0,5
2,Ben White,17,4,0,4
3,Takehiro Tomiyasu,12,1,1,4
4,Fabio Vieira,8,0,1,3
5,Declan Rice,18,2,0,2
6,Oleksandr Zinchenko,17,2,0,2
7,Martin Ødegaard,15,1,0,1
8,Jorginho,11,1,0,1
9,Jurriën Timber,1,1,0,1
10,William Saliba,18,1,0,1
11,Gabriel,16,1,0,1
12,Bradley Ibrahim,0,0,0,0
13,Emile Smith Rowe,5,0,0,0
14,Thomas Partey,4,0,0,0
15,Mohamed Elneny,1,0,0,0
16,Reuell Walters,0,0,0,0
17,Jakub Kiwior,7,0,0,0
18,Cédric,0,0,0,0
19,Karl Hein,0,0,0,0
20,Aaron Ramsdale,5,0,0,0
21,David Raya,13,0,0,0
