Column1,Name,P,G
1,Bukayo Saka,17,5
2,Eddie Nketiah,17,5
3,Kai Havertz,18,4
4,Martin Ødegaard,15,4
5,Declan Rice,18,3
6,Leandro Trossard,14,3
7,Gabriel Jesus,13,3
8,Gabriel Martinelli,16,2
9,William Saliba,18,1
10,Ben White,17,1
11,Oleksandr Zinchenko,17,1
12,Gabriel,16,1
13,Takehiro Tomiyasu,12,1
14,Fabio Vieira,8,1
15,David Raya,13,0
16,Jorginho,11,0
17,Jakub Kiwior,7,0
18,Reiss Nelson,7,0
19,Aaron Ramsdale,5,0
20,Emile Smith Rowe,5,0
21,Thomas Partey,4,0
22,Jurriën Timber,1,0
23,Mohamed Elneny,1,0
24,Myles Lewis-Skelly,0,0
25,Bradley Ibrahim,0,0
