Column1,Name,P,A
1,Ollie Watkins,19,7
2,Leon Bailey,17,5
3,Moussa Diaby,19,4
4,Douglas Luiz,18,3
5,Lucas Digne,18,3
6,Youri Tielemans,16,3
7,John McGinn,19,2
8,Matty Cash,17,1
9,Boubacar Kamara,16,1
10,Clément Lenglet,2,1
11,Ezri Konsa,19,0
12,Emiliano Martínez,18,0
13,Pau Torres,17,0
14,Diego Carlos,13,0
15,Nicolò Zaniolo,13,0
16,Jhon Durán,12,0
17,Jacob Ramsey,9,0
18,Leander Dendoncker,7,0
19,Álex Moreno,6,0
20,Philippe Coutinho,2,0
21,Bertrand Traoré,2,0
22,Robin Olsen,1,0
23,Tyrone Mings,1,0
24,Tim Iroegbunam,1,0
