Column1,Name,P,yc,rc,Pts
1,Boubacar Kamara,16,6,1,9
2,Matty Cash,17,5,0,5
3,Lucas Digne,18,5,0,5
4,Nicolò Zaniolo,13,4,0,4
5,John McGinn,19,4,0,4
6,Ezri Konsa,19,4,0,4
7,Leon Bailey,17,3,0,3
8,Emiliano Martínez,18,3,0,3
9,Diego Carlos,13,2,0,2
10,Jacob Ramsey,9,1,0,1
11,Pau Torres,17,1,0,1
12,Tim Iroegbunam,1,0,0,0
13,Youri Tielemans,16,0,0,0
14,Leander Dendoncker,7,0,0,0
15,Bertrand Traoré,2,0,0,0
16,Clément Lenglet,2,0,0,0
17,Tyrone Mings,1,0,0,0
18,Calum Chambers,0,0,0,0
19,Álex Moreno,6,0,0,0
20,Sam Proctor,0,0,0,0
21,Filip Marshall,0,0,0,0
22,Robin Olsen,1,0,0,0
