Column1,Name,P,G
1,Ollie Watkins,19,9
2,John McGinn,19,5
3,Douglas Luiz,18,5
4,Leon Bailey,17,5
5,Moussa Diaby,19,3
6,Pau Torres,17,2
7,Matty Cash,17,2
8,Jhon Durán,12,2
9,Nicolò Zaniolo,13,1
10,Jacob Ramsey,9,1
11,Leander Dendoncker,7,1
12,Álex Moreno,6,1
13,Ezri Konsa,19,0
14,Emiliano Martínez,18,0
15,Lucas Digne,18,0
16,Boubacar Kamara,16,0
17,Youri Tielemans,16,0
18,Diego Carlos,13,0
19,Clément Lenglet,2,0
20,Philippe Coutinho,2,0
21,Bertrand Traoré,2,0
22,Robin Olsen,1,0
23,Tyrone Mings,1,0
24,Tim Iroegbunam,1,0
