Column1,Name,P,A
1,Marcus Tavernier,15,3
2,Ryan Christie,18,2
3,Philip Billing,17,2
4,Marcos Senesi,16,2
5,Adam Smith,10,2
6,Dominic Solanke,18,1
7,Milos Kerkez,15,1
8,Antoine Semenyo,15,1
9,Lewis Cook,13,1
10,Max Aarons,12,1
11,Luis Sinisterra,11,1
12,David Brooks,11,1
13,Alex Scott,5,1
14,Illia Zabarnyi,18,0
15,Neto,16,0
16,Justin Kluivert,16,0
17,Dango Ouattara,12,0
18,Joe Rothwell,11,0
19,Lloyd Kelly,9,0
20,Kieffer Moore,7,0
21,Chris Mepham,5,0
22,Jaidon Anthony,3,0
23,Hamed Traoré,3,0
24,Andrei Radu,2,0
25,James Hill,1,0
