Column1,Name,P,yc,rc,Pts
1,Lewis Cook,13,1,1,4
2,Marcos Senesi,16,4,0,4
3,Philip Billing,17,3,0,3
4,Illia Zabarnyi,18,3,0,3
5,Neto,16,3,0,3
6,Alex Scott,5,2,0,2
7,Ryan Christie,18,2,0,2
8,Milos Kerkez,15,2,0,2
9,Marcus Tavernier,15,1,0,1
10,David Brooks,11,1,0,1
11,Chris Mepham,5,1,0,1
12,Lloyd Kelly,9,1,0,1
13,Max Aarons,12,1,0,1
14,Gavin Kilkenny,0,0,0,0
15,Hamed Traoré,3,0,0,0
16,Joe Rothwell,11,0,0,0
17,Ben Greenwood,0,0,0,0
18,Adam Smith,10,0,0,0
19,Andrei Radu,2,0,0,0
20,Mark Travers,0,0,0,0
