Column1,Name,P,A
1,Bryan Mbeumo,15,3
2,Neal Maupay,15,3
3,Mathias Jensen,13,2
4,Vitaly Janelt,18,1
5,Yoane Wissa,18,1
6,Christian Nørgaard,17,1
7,Frank Onyeka,15,1
8,Nathan Collins,14,1
9,Kristoffer Ajer,11,1
10,Rico Henry,5,1
11,Ethan Pinnock,18,0
12,Mark Flekken,17,0
13,Mads Roerslev,14,0
14,Saman Ghoddos,13,0
15,Keane Lewis-Potter,12,0
16,Yehor Yarmoliuk,10,0
17,Aaron Hickey,9,0
18,Ben Mee,9,0
19,Michael Olakigbe,7,0
20,Mikkel Damsgaard,6,0
21,Kevin Schade,5,0
22,Shandon Baptiste,5,0
23,Mathias Jorgensen,3,0
24,Myles Peart-Harris,3,0
25,Thomas Strakosha,2,0
