Column1,Name,P,yc,rc,Pts
1,Christian Nørgaard,17,7,0,7
2,Frank Onyeka,15,5,0,5
3,Aaron Hickey,9,5,0,5
4,Kristoffer Ajer,11,4,0,4
5,Vitaly Janelt,18,3,0,3
6,Ben Mee,9,0,1,3
7,Mathias Jensen,13,2,0,2
8,Yoane Wissa,18,2,0,2
9,Nathan Collins,14,2,0,2
10,Bryan Mbeumo,15,1,0,1
11,Rico Henry,5,1,0,1
12,Mark Flekken,17,1,0,1
13,Myles Peart-Harris,3,0,0,0
14,Ethan Brierley,0,0,0,0
15,Shandon Baptiste,5,0,0,0
16,Josh Dasilva,1,0,0,0
17,Kim Ji-Soo,0,0,0,0
18,Val Adedokun,0,0,0,0
19,Mads Roerslev,14,0,0,0
20,Ethan Pinnock,18,0,0,0
21,Charlie Goode,0,0,0,0
22,Mathias Jorgensen,3,0,0,0
23,Vincent Angelini,0,0,0,0
24,Ellery Balcombe,0,0,0,0
25,Thomas Strakosha,2,0,0,0
