Column1,Name,P,A
1,Pascal Groß,16,7
2,Kaoru Mitoma,17,4
3,Pervis Estupiñán,6,3
4,Tariq Lamptey,5,2
5,Julio Enciso,2,2
6,João Pedro,18,1
7,Simon Adingra,17,1
8,Billy Gilmour,17,1
9,Joël Veltman,16,1
10,Adam Lallana,12,1
11,James Milner,11,1
12,Facundo Buonanotte,10,1
13,Mahmoud Dahoud,9,1
14,Solly March,7,1
15,Evan Ferguson,16,0
16,Lewis Dunk,15,0
17,Jan Paul van Hecke,13,0
18,Carlos Baleba,11,0
19,Igor Julio,10,0
20,Danny Welbeck,10,0
21,Bart Verbruggen,9,0
22,Jason Steele,9,0
23,Ansu Fati,9,0
24,Jack Hinshelwood,7,0
25,Adam Webster,6,0
