Column1,Name,P,yc,rc,Pts
1,Lewis Dunk,15,4,1,7
2,Kaoru Mitoma,17,4,0,4
3,Billy Gilmour,17,4,0,4
4,Mahmoud Dahoud,9,1,1,4
5,Carlos Baleba,11,3,0,3
6,Facundo Buonanotte,10,3,0,3
7,Pascal Groß,16,3,0,3
8,James Milner,11,3,0,3
9,Igor Julio,10,3,0,3
10,Jan Paul van Hecke,13,2,0,2
11,Tariq Lamptey,5,2,0,2
12,Pervis Estupiñán,6,2,0,2
13,Jack Hinshelwood,7,1,0,1
14,Solly March,7,1,0,1
15,Adam Lallana,12,1,0,1
16,Joël Veltman,16,1,0,1
17,Adam Webster,6,1,0,1
18,Bart Verbruggen,9,1,0,1
19,Jakub Moder,3,0,0,0
20,Ben Jackson,0,0,0,0
21,Leigh Kavanagh,0,0,0,0
22,Jason Steele,9,0,0,0
