Column1,Name,P,G
1,Evan Ferguson,16,6
2,João Pedro,18,5
3,Simon Adingra,17,4
4,Kaoru Mitoma,17,3
5,Pascal Groß,16,3
6,Solly March,7,3
7,Danny Welbeck,10,2
8,Ansu Fati,9,2
9,Lewis Dunk,15,1
10,Facundo Buonanotte,10,1
11,Jack Hinshelwood,7,1
12,Pervis Estupiñán,6,1
13,Billy Gilmour,17,0
14,Joël Veltman,16,0
15,Jan Paul van Hecke,13,0
16,Adam Lallana,12,0
17,James Milner,11,0
18,Carlos Baleba,11,0
19,Igor Julio,10,0
20,Bart Verbruggen,9,0
21,Jason Steele,9,0
22,Mahmoud Dahoud,9,0
23,Adam Webster,6,0
24,Tariq Lamptey,5,0
25,Jakub Moder,3,0
