Column1,Name,P,A
1,Lyle Foster,10,3
2,Dara O'Shea,15,2
3,Sander Berge,19,1
4,Zeki Amdouni,18,1
5,Charlie Taylor,15,1
6,Luca Koleosho,15,1
7,Jordan Beyer,14,1
8,Jay Rodríguez,13,1
9,Jóhann Gudmundsson,12,1
10,Josh Cullen,11,1
11,Connor Roberts,11,1
12,Wilson Odobert,10,1
13,James Trafford,19,0
14,Josh Brownhill,18,0
15,Jacob Bruun Larsen,16,0
16,Vitinho,13,0
17,Mike Trésor,12,0
18,Nathan Redmond,12,0
19,Ameen Al Dakhil,11,0
20,Aaron Ramsey,9,0
21,Hannes Delcroix,8,0
22,Anass Zaroury,5,0
23,Benson Manuel,4,0
24,Hjalmar Ekdal,3,0
25,Michael Obafemi,2,0
