Column1,Name,P,yc,rc,Pts
1,Jordan Beyer,14,6,0,6
2,Connor Roberts,11,3,1,6
3,Josh Cullen,11,5,0,5
4,Charlie Taylor,15,5,0,5
5,Sander Berge,19,4,0,4
6,Dara O'Shea,15,3,0,3
7,Josh Brownhill,18,2,0,2
8,Jóhann Gudmundsson,12,2,0,2
9,Nathan Redmond,12,1,0,1
10,Ameen Al Dakhil,11,1,0,1
11,Hjalmar Ekdal,3,1,0,1
12,Hannes Delcroix,8,1,0,1
13,James Trafford,19,1,0,1
14,Michael Obafemi,2,0,0,0
15,Jacob Bruun Larsen,16,0,0,0
16,Benson Manuel,4,0,0,0
17,Jay Rodríguez,13,0,0,0
18,Aaron Ramsey,9,0,0,0
19,Han-Noah Massengo,0,0,0,0
20,Jack Cork,1,0,0,0
21,Vitinho,13,0,0,0
22,Aro Muric,0,0,0,0
23,Lawrence Vigouroux,0,0,0,0
