Column1,Name,P,A
1,Conor Gallagher,18,3
2,Raheem Sterling,18,3
3,Cole Palmer,16,3
4,Malo Gusto,12,3
5,Levi Colwill,18,1
6,Nicolas Jackson,18,1
7,Mykhailo Mudryk,17,1
8,Enzo Fernández,16,1
9,Reece James,8,1
10,Benoit Badiashile,6,1
11,Ben Chilwell,6,1
12,Thiago Silva,18,0
13,Axel Disasi,17,0
14,Robert Sánchez,16,0
15,Moisés Caicedo,16,0
16,Ian Maatsen,12,0
17,Armando Broja,11,0
18,Lesley Ugochukwu,10,0
19,Marc Cucurella,9,0
20,Noni Madueke,8,0
21,Djordje Petrovic,4,0
22,Carney Chukwuemeka,2,0
23,Christopher Nkunku,2,0
24,Mason Burstow,2,0
25,Romeo Lavia,1,0
