Column1,Name,P,yc,rc,Pts
1,Conor Gallagher,18,5,1,8
2,Cole Palmer,16,5,0,5
3,Malo Gusto,12,2,1,5
4,Marc Cucurella,9,5,0,5
5,Moisés Caicedo,16,4,0,4
6,Enzo Fernández,16,4,0,4
7,Reece James,8,1,1,4
8,Ben Chilwell,6,3,0,3
9,Carney Chukwuemeka,2,2,0,2
10,Levi Colwill,18,2,0,2
11,Axel Disasi,17,2,0,2
12,Thiago Silva,18,2,0,2
13,Robert Sánchez,16,2,0,2
14,Benoit Badiashile,6,1,0,1
15,Ian Maatsen,12,1,0,1
16,Marcus Bettinelli,0,1,0,1
17,Josh Brooking,0,0,0,0
18,Alfie Gilchrist,1,0,0,0
19,Eddie Beach,0,0,0,0
20,Lucas Bergstrom,0,0,0,0
21,Djordje Petrovic,4,0,0,0
