Column1,Name,P,G
1,Nicolas Jackson,18,7
2,Cole Palmer,16,6
3,Raheem Sterling,18,5
4,Mykhailo Mudryk,17,3
5,Enzo Fernández,16,2
6,Thiago Silva,18,1
7,Levi Colwill,18,1
8,Axel Disasi,17,1
9,Armando Broja,11,1
10,Noni Madueke,8,1
11,Carney Chukwuemeka,2,1
12,Christopher Nkunku,2,1
13,Conor Gallagher,18,0
14,Robert Sánchez,16,0
15,Moisés Caicedo,16,0
16,Malo Gusto,12,0
17,Ian Maatsen,12,0
18,Lesley Ugochukwu,10,0
19,Marc Cucurella,9,0
20,Reece James,8,0
21,Benoit Badiashile,6,0
22,Ben Chilwell,6,0
23,Djordje Petrovic,4,0
24,Mason Burstow,2,0
25,Romeo Lavia,1,0
