Column1,Name,P,yc,rc,Pts
1,Tyrick Mitchell,18,4,0,4
2,Joachim Andersen,19,4,0,4
3,Joel Ward,16,4,0,4
4,Jefferson Lerma,14,3,0,3
5,Will Hughes,14,3,0,3
6,Cheick Doucouré,11,2,0,2
7,Eberechi Eze,13,2,0,2
8,Chris Richards,10,2,0,2
9,Naouirou Ahamada,10,1,0,1
10,Marc Guehi,18,1,0,1
11,Dean Henderson,3,1,0,1
12,Jesurun Rak-Sakyi,6,0,0,0
13,Michael Olise,8,0,0,0
14,Jeff Schlupp,16,0,0,0
15,Jairo Riedewald,4,0,0,0
16,Tayo Adaramola,0,0,0,0
17,Rob Holding,0,0,0,0
18,Nathaniel Clyne,8,0,0,0
19,James Tomkins,1,0,0,0
20,Joseph Whitworth,0,0,0,0
21,Remi Matthews,1,0,0,0
22,Sam Johnstone,16,0,0,0
