Column1,Name,P,A
1,Dwight McNeil,16,4
2,Jack Harrison,13,3
3,Nathan Patterson,17,2
4,James Tarkowski,19,1
5,James Garner,18,1
6,Abdoulaye Doucouré,17,1
7,André Gomes,2,1
8,Jordan Pickford,19,0
9,Jarrad Branthwaite,16,0
10,Ashley Young,15,0
11,Amadou Onana,15,0
12,Dominic Calvert-Lewin,15,0
13,Vitalii Mykolenko,14,0
14,Idrissa Gueye,14,0
15,Beto,14,0
16,Arnaut Danjuma,11,0
17,Youssef Chermiti,7,0
18,Michael Keane,6,0
19,Lewis Dobbin,6,0
20,Ben Godfrey,2,0
21,Seamus Coleman,1,0
22,Thomas Cannon,1,0
23,Tyler Onyango,1,0
