Column1,Name,P,A
1,Andreas Pereira,19,4
2,Harry Wilson,19,3
3,Antonee Robinson,18,3
4,Tom Cairney,17,2
5,João Palhinha,16,1
6,Harrison Reed,16,1
7,Alex Iwobi,17,1
8,Willian,15,1
9,Bernd Leno,19,0
10,Bobby De Cordova-Reid,17,0
11,Timothy Castagne,16,0
12,Raúl Jiménez,16,0
13,Calvin Bassey,14,0
14,Tim Ream,13,0
15,Carlos Vinícius,13,0
16,Saša Luki?,11,0
17,Issa Diop,9,0
18,Kenny Tete,8,0
19,Rodrigo Muniz,8,0
20,Tosin Adarabioyo,7,0
21,Fodé Ballo-Touré,4,0
22,Adama Traoré,4,0
23,Luke Harris,1,0
24,Aleksandar Mitrovic,1,0
25,Luc De Fougerolles,0,0
