Column1,Name,P,yc,rc,Pts
1,João Palhinha,16,8,0,8
2,Tim Ream,13,3,1,6
3,Raúl Jiménez,16,2,1,5
4,Calvin Bassey,14,2,1,5
5,Antonee Robinson,18,4,0,4
6,Andreas Pereira,19,3,0,3
7,Alex Iwobi,17,2,0,2
8,Bobby De Cordova-Reid,17,2,0,2
9,Harry Wilson,19,2,0,2
10,Harrison Reed,16,2,0,2
11,Issa Diop,9,2,0,2
12,Kenny Tete,8,2,0,2
13,Saša Luki?,11,1,0,1
14,Fodé Ballo-Touré,4,1,0,1
15,Timothy Castagne,16,1,0,1
16,Marek Rodak,0,1,0,1
17,Bernd Leno,19,1,0,1
18,Matthew Dibley-Dias,0,0,0,0
19,Tyrese Francois,0,0,0,0
20,Tom Cairney,17,0,0,0
21,Luke Harris,1,0,0,0
22,Luc De Fougerolles,0,0,0,0
23,Devan Tanton,0,0,0,0
24,Tosin Adarabioyo,7,0,0,0
