Column1,Name,P,G
1,Raúl Jiménez,16,4
2,Willian,15,4
3,Bobby De Cordova-Reid,17,3
4,Alex Iwobi,17,3
5,Harry Wilson,19,2
6,João Palhinha,16,2
7,Carlos Vinícius,13,2
8,Andreas Pereira,19,1
9,Tom Cairney,17,1
10,Tim Ream,13,1
11,Kenny Tete,8,1
12,Tosin Adarabioyo,7,1
13,Bernd Leno,19,0
14,Antonee Robinson,18,0
15,Timothy Castagne,16,0
16,Harrison Reed,16,0
17,Calvin Bassey,14,0
18,Saša Luki?,11,0
19,Issa Diop,9,0
20,Rodrigo Muniz,8,0
21,Fodé Ballo-Touré,4,0
22,Adama Traoré,4,0
23,Luke Harris,1,0
24,Aleksandar Mitrovic,1,0
25,Luc De Fougerolles,0,0
