Column1,Name,P,A
1,Mohamed Salah,19,8
2,Darwin Núñez,18,5
3,Trent Alexander-Arnold,17,4
4,Kostas Tsimikas,10,3
5,Dominik Szoboszlai,19,2
6,Virgil van Dijk,17,2
7,Luis Díaz,18,1
8,Cody Gakpo,17,1
9,Harvey Elliott,16,1
10,Alexis Mac Allister,14,1
11,Ryan Gravenberch,14,1
12,Diogo Jota,13,1
13,Curtis Jones,11,1
14,Alisson Becker,17,0
15,Joe Gomez,16,0
16,Wataru Endo,14,0
17,Ibrahima Konaté,13,0
18,Joël Matip,10,0
19,Andy Robertson,8,0
20,Jarell Quansah,6,0
21,Caoimhin Kelleher,2,0
22,Ben Doak,1,0
23,James McConnell,1,0
24,Callum Scanlon,0,0
25,Trey Nyoni,0,0
