Column1,Name,Played,Goals
1,Mohamed Salah,19,12
2,Darwin Núñez,18,5
3,Diogo Jota,13,5
4,Luis Díaz,18,3
5,Dominik Szoboszlai,19,2
6,Trent Alexander-Arnold,17,2
7,Cody Gakpo,17,2
8,Virgil van Dijk,17,1
9,Harvey Elliott,16,1
10,Alexis Mac Allister,14,1
11,Wataru Endo,14,1
12,Andy Robertson,8,1
13,Alisson Becker,17,0
14,Joe Gomez,16,0
15,Ryan Gravenberch,14,0
16,Ibrahima Konaté,13,0
17,Curtis Jones,11,0
18,Joël Matip,10,0
19,Kostas Tsimikas,10,0
20,Jarell Quansah,6,0
21,Caoimhin Kelleher,2,0
22,Ben Doak,1,0
23,James McConnell,1,0
24,Callum Scanlon,0,0
25,Trey Nyoni,0,0
