Column1,Name,P,A
1,Alfie Doughty,17,3
2,Carlton Morris,18,2
3,Andros Townsend,10,2
4,Chiedozie Ogbene,17,1
5,Tom Lockyer,14,1
6,Issa Kaboré,14,1
7,Ross Barkley,13,1
8,Reece Burke,8,1
9,Albert Lokonga,5,1
10,Thomas Kaminski,18,0
11,Elijah Adebayo,18,0
12,Jacob Brown,17,0
13,Pelly Ruddock Mpanzu,16,0
14,Tahith Chong,14,0
15,Marvelous Nakamba,13,0
16,Amari'i Bell,13,0
17,Teden Mengi,13,0
18,Ryan Giles,11,0
19,Gabriel Osho,8,0
20,Mads Andersen,8,0
21,Cauley Woodrow,7,0
22,Jordan Clark,5,0
23,Luke Berry,2,0
24,Jayden Luker,0,0
25,Zack Nelson,0,0
