Column1,Name,P,yc,rc,Pts
1,Marvelous Nakamba,13,5,0,5
2,Issa Kaboré,14,4,0,4
3,Tom Lockyer,14,4,0,4
4,Tahith Chong,14,3,0,3
5,Ross Barkley,13,3,0,3
6,Thomas Kaminski,18,3,0,3
7,Alfie Doughty,17,2,0,2
8,Jordan Clark,5,1,0,1
9,Teden Mengi,13,1,0,1
10,Gabriel Osho,8,1,0,1
11,Mads Andersen,8,1,0,1
12,Reece Burke,8,1,0,1
13,Jayden Luker,0,0,0,0
14,Zack Nelson,0,0,0,0
15,Albert Lokonga,5,0,0,0
16,Ryan Giles,11,0,0,0
17,Pelly Ruddock Mpanzu,16,0,0,0
18,Luke Berry,2,0,0,0
19,Andros Townsend,10,0,0,0
20,Joseph Johnson,0,0,0,0
21,Amari'i Bell,13,0,0,0
22,James Shea,0,0,0,0
23,Tim Krul,0,0,0,0
