Column1,Name,P,G
1,Elijah Adebayo,18,4
2,Carlton Morris,18,3
3,Jacob Brown,17,2
4,Alfie Doughty,17,1
5,Chiedozie Ogbene,17,1
6,Tom Lockyer,14,1
7,Tahith Chong,14,1
8,Teden Mengi,13,1
9,Ross Barkley,13,1
10,Andros Townsend,10,1
11,Gabriel Osho,8,1
12,Mads Andersen,8,1
13,Thomas Kaminski,18,0
14,Pelly Ruddock Mpanzu,16,0
15,Issa Kaboré,14,0
16,Marvelous Nakamba,13,0
17,Amari'i Bell,13,0
18,Ryan Giles,11,0
19,Reece Burke,8,0
20,Cauley Woodrow,7,0
21,Albert Lokonga,5,0
22,Jordan Clark,5,0
23,Luke Berry,2,0
24,Jayden Luker,0,0
25,Zack Nelson,0,0
