Column1,Name,P,A
1,Julián Álvarez,18,6
2,Jérémy Doku,11,5
3,Phil Foden,18,4
4,Erling Haaland,15,4
5,Bernardo Silva,15,4
6,Rodri,15,2
7,Kyle Walker,18,1
8,Nathan Aké,14,1
9,Jack Grealish,11,1
10,Matheus Nunes,10,1
11,Oscar Bobb,5,1
12,Sergio Gómez,2,1
13,Ederson,17,0
14,Rúben Dias,15,0
15,Manuel Akanji,14,0
16,Josko Gvardiol,14,0
17,Mateo Kovacic,13,0
18,John Stones,8,0
19,Rico Lewis,8,0
20,Kalvin Phillips,4,0
21,Stefan Ortega,1,0
22,Kevin De Bruyne,1,0
23,Aymeric Laporte,1,0
