Column1,Name,P,yc,rc,Pts
1,Rodri,15,6,1,9
2,Jack Grealish,11,6,0,6
3,Manuel Akanji,14,3,1,6
4,Matheus Nunes,10,1,1,4
5,Bernardo Silva,15,3,0,3
6,Ederson,17,3,0,3
7,Mateo Kovacic,13,2,0,2
8,Josko Gvardiol,14,2,0,2
9,Phil Foden,18,1,0,1
10,Rico Lewis,8,1,0,1
11,John Stones,8,1,0,1
12,Kyle Walker,18,1,0,1
13,Mahamadou Susoho,0,0,0,0
14,Micah Hamilton,0,0,0,0
15,Oscar Bobb,5,0,0,0
16,Sergio Gómez,2,0,0,0
17,Kalvin Phillips,4,0,0,0
18,Kevin De Bruyne,1,0,0,0
19,Rúben Dias,15,0,0,0
20,Nathan Aké,14,0,0,0
21,Stefan Ortega,1,0,0,0
22,Scott Carson,0,0,0,0
