Column1,Name,P,G
1,Erling Haaland,15,14
2,Julián Álvarez,18,5
3,Phil Foden,18,5
4,Bernardo Silva,15,5
5,Rodri,15,3
6,Jack Grealish,11,3
7,Manuel Akanji,14,2
8,Nathan Aké,14,2
9,Jérémy Doku,11,2
10,Rico Lewis,8,1
11,Kyle Walker,18,0
12,Ederson,17,0
13,Rúben Dias,15,0
14,Josko Gvardiol,14,0
15,Mateo Kovacic,13,0
16,John Stones,8,0
17,Matheus Nunes,10,0
18,Oscar Bobb,5,0
19,Kalvin Phillips,4,0
20,Sergio Gómez,2,0
21,Stefan Ortega,1,0
22,Kevin De Bruyne,1,0
23,Aymeric Laporte,1,0
