Column1,Name,P,A
1,Bruno Fernandes,18,3
2,Marcus Rashford,18,2
3,Alejandro Garnacho,17,2
4,Diogo Dalot,17,1
5,Christian Eriksen,13,1
6,Victor Lindelöf,12,1
7,Harry Maguire,11,1
8,Jonny Evans,11,1
9,Aaron Wan-Bissaka,10,1
10,Facundo Pellistri,9,1
11,Sergio Reguilón,8,1
12,Lisandro Martínez,5,1
13,André Onana,19,0
14,Scott McTominay,16,0
15,Rasmus Højlund,15,0
16,Antony,15,0
17,Anthony Martial,13,0
18,Sofyan Amrabat,10,0
19,Raphaël Varane,10,0
20,Luke Shaw,8,0
21,Casemiro,8,0
22,Mason Mount,8,0
23,Kobbie Mainoo,5,0
24,Hannibal Mejbri,5,0
25,Jadon Sancho,3,0
