Column1,Name,P,yc,rc,Pts
1,Bruno Fernandes,18,7,0,7
2,Diogo Dalot,17,4,1,7
3,Luke Shaw,8,4,0,4
4,Sofyan Amrabat,10,3,0,3
5,Sergio Reguilón,8,3,0,3
6,André Onana,19,3,0,3
7,Aaron Wan-Bissaka,10,2,0,2
8,Lisandro Martínez,5,2,0,2
9,Jonny Evans,11,2,0,2
10,Hannibal Mejbri,5,1,0,1
11,Mason Mount,8,1,0,1
12,Casemiro,8,1,0,1
13,Victor Lindelöf,12,1,0,1
14,Harry Maguire,11,1,0,1
15,Facundo Pellistri,9,0,0,0
16,Scott McTominay,16,0,0,0
17,Donny van de Beek,1,0,0,0
18,Christian Eriksen,13,0,0,0
19,Willy Kambwala,2,0,0,0
20,Rhys Bennett,0,0,0,0
21,Raphaël Varane,10,0,0,0
22,Radek Vítek,0,0,0,0
23,Altay Bayindir,0,0,0,0
