Column1,Name,P,A
1,Kieran Trippier,18,7
2,Anthony Gordon,18,4
3,Jacob Murphy,5,3
4,Bruno Guimarães,18,2
5,Miguel Almirón,19,1
6,Sean Longstaff,16,1
7,Joelinton,15,1
8,Callum Wilson,14,1
9,Elliot Anderson,9,1
10,Lewis Miley,8,1
11,Sven Botman,8,1
12,Harvey Barnes,6,1
13,Fabian Schär,19,0
14,Nick Pope,14,0
15,Dan Burn,14,0
16,Alexander Isak,14,0
17,Jamaal Lascelles,13,0
18,Valentino Livramento,13,0
19,Sandro Tonali,8,0
20,Matt Ritchie,7,0
21,Martin Dúbravka,6,0
22,Lewis Hall,6,0
23,Emil Krafth,4,0
24,Joe Willock,3,0
25,Matt Targett,3,0
