Column1,Name,P,yc,rc,Pts
1,Bruno Guimarães,18,7,0,7
2,Kieran Trippier,18,5,0,5
3,Sean Longstaff,16,4,0,4
4,Jamaal Lascelles,13,4,0,4
5,Fabian Schär,19,3,0,3
6,Dan Burn,14,2,0,2
7,Harvey Barnes,6,1,0,1
8,Matt Ritchie,7,1,0,1
9,Miguel Almirón,19,1,0,1
10,Valentino Livramento,13,1,0,1
11,Sven Botman,8,1,0,1
12,Matt Targett,3,1,0,1
13,Lewis Hall,6,1,0,1
14,Joe Willock,3,0,0,0
15,Elliot Anderson,9,0,0,0
16,Jacob Murphy,5,0,0,0
17,Alex Murphy,1,0,0,0
18,Emil Krafth,4,0,0,0
19,Javier Manquillo,0,0,0,0
20,Paul Dummett,1,0,0,0
21,Loris Karius,0,0,0,0
22,Nick Pope,14,0,0,0
23,Mark Gillespie,0,0,0,0
24,Martin Dúbravka,6,0,0,0
