Column1,Name,P,G
1,Alexander Isak,14,8
2,Callum Wilson,14,7
3,Anthony Gordon,18,6
4,Miguel Almirón,19,3
5,Sean Longstaff,16,2
6,Joelinton,15,2
7,Dan Burn,14,2
8,Bruno Guimarães,18,1
9,Jamaal Lascelles,13,1
10,Lewis Miley,8,1
11,Sven Botman,8,1
12,Sandro Tonali,8,1
13,Harvey Barnes,6,1
14,Jacob Murphy,5,1
15,Fabian Schär,19,0
16,Kieran Trippier,18,0
17,Nick Pope,14,0
18,Valentino Livramento,13,0
19,Elliot Anderson,9,0
20,Matt Ritchie,7,0
21,Martin Dúbravka,6,0
22,Lewis Hall,6,0
23,Emil Krafth,4,0
24,Joe Willock,3,0
25,Matt Targett,3,0
