Column1,Name,P,A
1,Anthony Elanga,19,5
2,Morgan Gibbs-White,19,3
3,Harry Toffolo,12,3
4,Sèrge Aurier,12,2
5,Taiwo Awoniyi,10,2
6,Chris Wood,17,1
7,Murillo,13,1
8,Ola Aina,13,1
9,Neco Williams,10,1
10,Orel Mangala,17,0
11,Ryan Yates,16,0
12,Matt Turner,14,0
13,Willy Boly,14,0
14,Moussa Niakhaté,13,0
15,Danilo,12,0
16,Ibrahim Sangaré,11,0
17,Nicolás Domínguez,10,0
18,Callum Hudson-Odoi,10,0
19,Cheikhou Kouyaté,10,0
20,Divock Origi,9,0
21,Joe Worrall,7,0
22,Odisseas Vlachodimos,5,0
23,Scott McKenna,5,0
24,Gonzalo Montiel,5,0
