Column1,Name,P,yc,rc,Pts
1,Moussa Niakhaté,13,3,1,6
2,Ibrahim Sangaré,11,5,0,5
3,Willy Boly,14,2,1,5
4,Orel Mangala,17,4,0,4
5,Morgan Gibbs-White,19,3,0,3
6,Ryan Yates,16,3,0,3
7,Joe Worrall,7,0,1,3
8,Gonzalo Montiel,5,3,0,3
9,Ola Aina,13,3,0,3
10,Cheikhou Kouyaté,10,2,0,2
11,Murillo,13,2,0,2
12,Nuno Tavares,3,2,0,2
13,Harry Toffolo,12,2,0,2
14,Sèrge Aurier,12,2,0,2
15,Danilo,12,1,0,1
16,Nicolás Domínguez,10,1,0,1
17,Neco Williams,10,1,0,1
18,Felipe,3,1,0,1
19,Matt Turner,14,1,0,1
20,Andrew Omobamidele,0,0,0,0
21,Scott McKenna,5,0,0,0
22,Ethan Horvath,0,0,0,0
23,Odisseas Vlachodimos,5,0,0,0
