Column1,Name,P,A
1,Gustavo Hamer,18,2
2,James McAtee,16,2
3,Jack Robinson,18,1
4,Oliver McBurnie,11,1
5,George Baldock,10,1
6,Wes Foderingham,19,0
7,Vinicius Souza,18,0
8,Oliver Norwood,17,0
9,Cameron Archer,17,0
10,Jayden Bogle,15,0
11,Anel Ahmedhodzic,14,0
12,Auston Trusty,14,0
13,Luke Thomas,11,0
14,William Osula,10,0
15,Anis Ben Slimane,9,0
16,Bénie Traoré,8,0
17,Chris Basham,8,0
18,Ben Osborn,8,0
19,Andre Brooks,7,0
20,Max Lowe,7,0
21,John Egan,6,0
22,Yasser Larouci,6,0
23,Rhian Brewster,6,0
24,John Fleck,4,0
25,Tom Davies,3,0
