Column1,Name,P,yc,rc,Pts
1,Oliver Norwood,17,6,0,6
2,Jack Robinson,18,6,0,6
3,Gustavo Hamer,18,5,0,5
4,Anel Ahmedhodzic,14,5,0,5
5,Jayden Bogle,15,5,0,5
6,George Baldock,10,4,0,4
7,Auston Trusty,14,3,0,3
8,Luke Thomas,11,3,0,3
9,Anis Ben Slimane,9,2,0,2
10,James McAtee,16,2,0,2
11,Vinicius Souza,18,2,0,2
12,Ben Osborn,8,2,0,2
13,John Egan,6,2,0,2
14,Wes Foderingham,19,2,0,2
15,Tom Davies,3,1,0,1
16,John Fleck,4,1,0,1
17,Yasser Larouci,6,1,0,1
18,Max Lowe,7,1,0,1
19,Chris Basham,8,1,0,1
20,Ismaila Coulibaly,0,0,0,0
21,Jili Buyabu,0,0,0,0
22,Femi Seriki,0,0,0,0
23,Rhys Norrington-Davies,0,0,0,0
24,Jordan Amissah,0,0,0,0
25,Adam Davies,0,0,0,0
