Column1,Name,P,G
1,Cameron Archer,17,3
2,Oliver McBurnie,11,3
3,Gustavo Hamer,18,2
4,Oliver Norwood,17,1
5,Jayden Bogle,15,1
6,James McAtee,16,1
7,Anel Ahmedhodzic,14,1
8,Wes Foderingham,19,0
9,Jack Robinson,18,0
10,Vinicius Souza,18,0
11,Auston Trusty,14,0
12,Luke Thomas,11,0
13,George Baldock,10,0
14,William Osula,10,0
15,Anis Ben Slimane,9,0
16,Bénie Traoré,8,0
17,Chris Basham,8,0
18,Ben Osborn,8,0
19,Andre Brooks,7,0
20,Max Lowe,7,0
21,John Egan,6,0
22,Yasser Larouci,6,0
23,Rhian Brewster,6,0
24,John Fleck,4,0
25,Tom Davies,3,0
