Column1,Name,P,A
1,Pedro Porro,17,5
2,James Maddison,11,5
3,Son Heung-Min,18,3
4,Richarlison,15,3
5,Brennan Johnson,15,3
6,Dejan Kulusevski,18,2
7,Pape Matar Sarr,16,2
8,Destiny Udogie,15,2
9,Manor Solomon,5,2
10,Ivan Perisic,5,2
11,Guglielmo Vicario,18,0
12,Pierre-Emile Højbjerg,17,0
13,Yves Bissouma,15,0
14,Cristian Romero,15,0
15,Emerson Royal,13,0
16,Oliver Skipp,13,0
17,Ben Davies,12,0
18,Micky van de Ven,11,0
19,Giovani Lo Celso,8,0
20,Bryan Gil,6,0
21,Alejo Veliz,6,0
22,Rodrigo Bentancur,4,0
23,Eric Dier,3,0
24,Jamie Donley,2,0
25,Davinson Sánchez,1,0
