Column1,Name,P,yc,rc,Pts
1,Yves Bissouma,15,6,2,12
2,Destiny Udogie,15,6,1,9
3,Cristian Romero,15,4,1,7
4,Pape Matar Sarr,16,4,0,4
5,Dejan Kulusevski,18,4,0,4
6,Pierre-Emile Højbjerg,17,3,0,3
7,Pedro Porro,17,3,0,3
8,James Maddison,11,2,0,2
9,Ivan Perisic,5,2,0,2
10,Emerson Royal,13,2,0,2
11,Guglielmo Vicario,18,2,0,2
12,Son Heung-Min,18,1,0,1
13,Oliver Skipp,13,1,0,1
14,Rodrigo Bentancur,4,1,0,1
15,Micky van de Ven,11,1,0,1
16,Ben Davies,12,1,0,1
17,Giovani Lo Celso,8,0,0,0
18,Alfie Dorrington,0,0,0,0
19,Ashley Phillips,0,0,0,0
20,Eric Dier,3,0,0,0
21,Brandon Austin,0,0,0,0
22,Fraser Forster,0,0,0,0
