Column1,Name,P,G
1,Son Heung-Min,18,11
2,Dejan Kulusevski,18,5
3,Richarlison,15,5
4,Cristian Romero,15,3
5,James Maddison,11,3
6,Giovani Lo Celso,8,2
7,Pape Matar Sarr,16,1
8,Destiny Udogie,15,1
9,Emerson Royal,13,1
10,Brennan Johnson,15,1
11,Micky van de Ven,11,1
12,Guglielmo Vicario,18,0
13,Pedro Porro,17,0
14,Pierre-Emile Højbjerg,17,0
15,Yves Bissouma,15,0
16,Oliver Skipp,13,0
17,Ben Davies,12,0
18,Bryan Gil,6,0
19,Alejo Veliz,6,0
20,Manor Solomon,5,0
21,Ivan Perisic,5,0
22,Rodrigo Bentancur,4,0
23,Eric Dier,3,0
24,Jamie Donley,2,0
25,Davinson Sánchez,1,0
