Column1,Name,P,A
1,Vladimír Coufal,18,5
2,James Ward-Prowse,17,5
3,Lucas Paquetá,17,5
4,Michail Antonio,12,2
5,Jarrod Bowen,17,1
6,Emerson,17,1
7,Tomás Soucek,17,1
8,Edson Álvarez,15,1
9,Mohammed Kudus,15,1
10,Saïd Benrahma,11,1
11,Nayef Aguerd,16,0
12,Kurt Zouma,16,0
13,Alphonse Areola,15,0
14,Pablo Fornals,13,0
15,Danny Ings,10,0
16,Konstantinos Mavropanos,5,0
17,Angelo Ogbonna,4,0
18,Thilo Kehrer,4,0
19,Lukasz Fabianski,3,0
20,Aaron Cresswell,3,0
21,Divin Mubama,3,0
22,Maxwel Cornet,1,0
23,Ben Johnson,1,0
24,Joseph Anang,0,0
25,Conor Coventry,0,0
