Column1,Name,P,yc,rc,Pts
1,Edson Álvarez,15,7,0,7
2,Emerson,17,7,0,7
3,Lucas Paquetá,17,6,0,6
4,Nayef Aguerd,16,2,1,5
5,Vladimír Coufal,18,4,0,4
6,Mohammed Kudus,15,3,0,3
7,James Ward-Prowse,17,3,0,3
8,Michail Antonio,12,2,0,2
9,Tomás Soucek,17,2,0,2
10,Thilo Kehrer,4,2,0,2
11,Kurt Zouma,16,2,0,2
12,Danny Ings,10,1,0,1
13,Konstantinos Mavropanos,5,1,0,1
14,Aaron Cresswell,3,1,0,1
15,Conor Coventry,0,0,0,0
16,Pablo Fornals,13,0,0,0
17,Angelo Ogbonna,4,0,0,0
18,Ben Johnson,1,0,0,0
19,Joseph Anang,0,0,0,0
20,Alphonse Areola,15,0,0,0
21,Lukasz Fabianski,3,0,0,0
