Column1,Name,P,G
1,Jarrod Bowen,17,11
2,Mohammed Kudus,15,6
3,Tomás Soucek,17,4
4,James Ward-Prowse,17,3
5,Lucas Paquetá,17,2
6,Michail Antonio,12,2
7,Nayef Aguerd,16,1
8,Kurt Zouma,16,1
9,Vladimír Coufal,18,0
10,Emerson,17,0
11,Alphonse Areola,15,0
12,Edson Álvarez,15,0
13,Pablo Fornals,13,0
14,Saïd Benrahma,11,0
15,Danny Ings,10,0
16,Konstantinos Mavropanos,5,0
17,Angelo Ogbonna,4,0
18,Thilo Kehrer,4,0
19,Lukasz Fabianski,3,0
20,Aaron Cresswell,3,0
21,Divin Mubama,3,0
22,Maxwel Cornet,1,0
23,Ben Johnson,1,0
24,Joseph Anang,0,0
25,Conor Coventry,0,0
