Column1,Name,P,A
1,Pedro Neto,10,7
2,Pablo Sarabia,12,5
3,Matheus Cunha,19,4
4,Hwang Hee-Chan,19,2
5,Tote Gomes,16,2
6,Nélson Semedo,18,1
7,Jean-Ricner Bellegarde,10,1
8,Max Kilman,19,0
9,Craig Dawson,17,0
10,Mario Lemina,17,0
11,José Sá,17,0
12,João Gomes,17,0
13,Rayan Aït-Nouri,16,0
14,Matt Doherty,13,0
15,Boubacar Traoré,11,0
16,Hugo Bueno,11,0
17,Tommy Doyle,11,0
18,Sasa Kalajdzic,11,0
19,Fábio Silva,8,0
20,Daniel Bentley,3,0
21,Santiago Bueno,3,0
22,Jonny,1,0
23,Matthew Whittingham,0,0
24,Ty Barnett,0,0
