Column1,Name,P,yc,rc,Pts
1,Mario Lemina,17,8,1,11
2,João Gomes,17,5,0,5
3,Nélson Semedo,18,5,0,5
4,Craig Dawson,17,5,0,5
5,Hwang Hee-Chan,19,4,0,4
6,Rayan Aït-Nouri,16,4,0,4
7,Max Kilman,19,4,0,4
8,Pedro Neto,10,3,0,3
9,Jean-Ricner Bellegarde,10,0,1,3
10,Tommy Doyle,11,1,0,1
11,Boubacar Traoré,11,1,0,1
12,Pablo Sarabia,12,1,0,1
13,Tote Gomes,16,1,0,1
14,Hugo Bueno,11,1,0,1
15,Matt Doherty,13,1,0,1
16,José Sá,17,1,0,1
17,Matthew Whittingham,0,0,0,0
18,Owen Hesketh,0,0,0,0
19,Tawanda Chirewa,0,0,0,0
20,Joseph Hodge,0,0,0,0
21,Justin Hubner,0,0,0,0
22,Santiago Bueno,3,0,0,0
23,Jonny,1,0,0,0
24,Tom King,0,0,0,0
25,Daniel Bentley,3,0,0,0
